scenariu,sectiune,mod,imagine,det_scenariu,clase_gasite,confidence_medie,preprocess_ms,inferenta_ms,total_ms,fps,decizie,motiv_decizie
persoane,5.7.1,CPU,coco_000000154358_person.jpg,0,,,0.35,34.02,34.37,29.1,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000157601_person.jpg,1,person,0.734,0.32,34.59,34.92,28.64,emergency_stop,PERICOL CRITIC: unknown la distanță 0.80
persoane,5.7.1,CPU,coco_000000176037_person.jpg,0,,,0.33,36.22,36.55,27.36,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000179174_person.jpg,2,person;person,0.568,0.34,35.04,35.38,28.27,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000185950_person.jpg,1,person,0.501,0.34,35.96,36.29,27.55,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000206411_person.jpg,0,,,0.31,38.05,38.36,26.07,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000207306_person.jpg,0,,,0.35,32.87,33.22,30.1,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000209757_person.jpg,0,,,0.34,33.59,33.93,29.47,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000212453_person.jpg,0,,,0.36,34.12,34.48,29.01,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000214869_person.jpg,0,,,0.37,33.73,34.1,29.33,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000215072_person.jpg,1,person,0.597,0.31,31.07,31.38,31.87,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU,coco_000000216277_person.jpg,1,person,0.56,0.33,32.01,32.34,30.92,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000224807_person.jpg,7,person;person;person;person;person;person;person,0.654,0.31,31.31,31.62,31.62,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000227482_person.jpg,1,person,0.882,0.33,32.61,32.94,30.36,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU,coco_000000248616_person.jpg,3,person;person;person,0.635,0.37,39.67,40.04,24.98,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000250127_person.jpg,1,person,0.846,0.35,31.77,32.12,31.13,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000256775_person.jpg,4,person;person;person;person,0.651,0.44,31.69,32.13,31.12,continue,"Obstacol îndepărtat: person, precauție"
persoane,5.7.1,CPU,coco_000000272136_person.jpg,0,,,0.31,30.4,30.7,32.57,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000279541_person.jpg,0,,,0.31,32.33,32.65,30.63,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000289343_person.jpg,1,person,0.479,0.31,35.82,36.13,27.68,stop,"Pericol înalt (balanced): person, oprire preventivă"
persoane,5.7.1,CPU,coco_000000289415_person.jpg,1,person,0.799,0.34,36.16,36.5,27.4,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000292456_person.jpg,0,,,0.33,34.56,34.88,28.67,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000295478_person.jpg,1,person,0.909,0.35,32.89,33.24,30.08,emergency_stop,PERICOL CRITIC: person la distanță 0.96
persoane,5.7.1,CPU,coco_000000303566_person.jpg,4,person;person;person;person,0.631,0.34,33.05,33.39,29.95,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000312192_person.jpg,0,,,0.36,32.55,32.91,30.38,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000313034_person.jpg,2,person;person,0.684,0.32,32.37,32.69,30.59,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU,coco_000000315187_person.jpg,0,,,0.33,33.45,33.78,29.61,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000317999_person.jpg,0,,,0.38,35.32,35.7,28.01,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000323355_person.jpg,1,person,0.767,0.34,35.48,35.83,27.91,emergency_stop,PERICOL CRITIC: person la distanță 0.96
persoane,5.7.1,CPU,coco_000000327701_person.jpg,3,person;person;person,0.782,0.32,30.83,31.15,32.1,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000332351_person.jpg,5,person;person;person;person;person,0.54,0.34,30.89,31.23,32.02,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000336053_person.jpg,2,person;person,0.63,0.31,33.31,33.62,29.74,emergency_stop,PERICOL CRITIC: unknown la distanță 0.90
persoane,5.7.1,CPU,coco_000000345361_person.jpg,3,person;person;person,0.816,0.3,33.02,33.32,30.01,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000347254_person.jpg,3,person;person;person,0.789,0.34,40.0,40.34,24.79,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000354307_person.jpg,0,,,0.38,42.71,43.09,23.21,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000354547_person.jpg,1,person,0.839,0.38,33.46,33.84,29.55,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000368212_person.jpg,1,person,0.623,0.36,33.43,33.79,29.6,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000372819_person.jpg,2,person;person,0.735,0.35,31.16,31.51,31.73,stop,"Pericol înalt (balanced): person, oprire preventivă"
persoane,5.7.1,CPU,coco_000000383337_person.jpg,1,person,0.549,0.31,33.09,33.41,29.93,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000385190_person.jpg,0,,,0.32,33.35,33.66,29.7,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000390246_person.jpg,1,person,0.726,0.35,35.37,35.72,28.0,stop,"Pericol înalt (balanced): person, oprire preventivă"
persoane,5.7.1,CPU,coco_000000391722_person.jpg,2,person;person,0.68,0.36,36.56,36.93,27.08,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000394275_person.jpg,0,,,0.34,34.5,34.84,28.7,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000398377_person.jpg,3,person;person;person,0.749,0.37,34.46,34.84,28.71,emergency_stop,PERICOL CRITIC: person la distanță 0.97
persoane,5.7.1,CPU,coco_000000406129_person.jpg,1,person,0.473,0.33,31.71,32.04,31.22,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000414170_person.jpg,3,person;person;person,0.76,0.35,33.13,33.48,29.87,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000417632_person.jpg,1,person,0.541,0.32,32.13,32.45,30.81,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU,coco_000000427997_person.jpg,1,person,0.694,0.36,32.37,32.73,30.55,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000428111_person.jpg,0,,,0.32,30.68,31.01,32.25,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000434230_person.jpg,0,,,0.32,28.88,29.19,34.25,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000437351_person.jpg,1,person,0.646,0.32,31.43,31.76,31.49,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000441491_person.jpg,0,,,0.34,30.15,30.5,32.79,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000447465_person.jpg,0,,,0.32,32.16,32.49,30.78,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000459195_person.jpg,3,person;person;person,0.71,0.32,30.24,30.56,32.72,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000481480_person.jpg,0,,,0.32,30.38,30.7,32.57,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000490936_person.jpg,1,person,0.756,0.35,30.88,31.23,32.02,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU,coco_000000492758_person.jpg,0,,,0.35,30.39,30.75,32.53,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000497568_person.jpg,0,,,0.32,31.4,31.73,31.52,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000504389_person.jpg,1,person,0.657,0.34,30.61,30.95,32.31,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU,coco_000000512836_person.jpg,0,,,0.31,31.24,31.55,31.7,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000516173_person.jpg,1,person,0.878,0.4,30.75,31.15,32.11,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000527528_person.jpg,0,,,0.33,29.41,29.74,33.63,slow_down,Obstacol la distanță medie (balanced): unknown
persoane,5.7.1,CPU,coco_000000529939_person.jpg,1,person,0.8,0.33,29.96,30.29,33.01,slow_down,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000548780_person.jpg,3,person;person;person,0.628,0.36,31.48,31.84,31.4,slow_down,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000551215_person.jpg,1,person,0.9,0.33,31.74,32.07,31.18,emergency_stop,PERICOL CRITIC: person la distanță 0.75
persoane,5.7.1,CPU,coco_000000553788_person.jpg,1,person,0.642,0.34,29.89,30.22,33.09,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000559543_person.jpg,1,person,0.839,0.32,30.97,31.29,31.95,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000561223_person.jpg,1,person,0.912,0.32,30.57,30.9,32.37,emergency_stop,PERICOL CRITIC: person la distanță 0.92
persoane,5.7.1,CPU,coco_000000563604_person.jpg,3,person;person;person,0.557,0.35,31.02,31.37,31.88,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000563648_person.jpg,0,,,0.34,29.92,30.26,33.04,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU,coco_000000576955_person.jpg,1,person,0.495,0.31,30.88,31.19,32.06,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU+FPGA,coco_000000000872_person.jpg,1,person,0.58,6077.37,49.92,6127.29,0.16,emergency_stop,PERICOL CRITIC: person la distanță 0.87
persoane,5.7.1,CPU+FPGA,coco_000000002261_person.jpg,1,person,0.639,0.33,31.14,31.47,31.78,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000002431_person.jpg,0,,,0.36,34.02,34.38,29.09,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000017899_person.jpg,0,,,0.37,33.28,33.65,29.72,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU+FPGA,coco_000000019109_person.jpg,0,,,0.32,30.7,31.03,32.23,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000025057_person.jpg,1,person,0.813,0.31,32.7,33.01,30.29,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000037689_person.jpg,2,person;person,0.483,0.36,30.47,30.83,32.44,continue,"Obstacol îndepărtat: person, precauție"
persoane,5.7.1,CPU+FPGA,coco_000000054931_person.jpg,1,person,0.835,0.31,29.85,30.16,33.15,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000055022_person.jpg,0,,,0.31,29.81,30.12,33.2,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000060102_person.jpg,1,person,0.72,0.32,31.35,31.67,31.57,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU+FPGA,coco_000000060932_person.jpg,2,person;person,0.579,0.33,30.33,30.66,32.61,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000072281_person.jpg,1,person,0.771,0.34,30.32,30.65,32.62,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000080022_person.jpg,1,person,0.88,0.31,31.94,32.25,31.01,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU+FPGA,coco_000000084241_person.jpg,2,person;person,0.736,0.31,34.13,34.43,29.04,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000085329_person.jpg,1,person,0.563,0.33,31.82,32.16,31.1,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000085682_person.jpg,0,,,0.31,30.05,30.36,32.94,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU+FPGA,coco_000000103723_person.jpg,1,person,0.713,0.33,29.35,29.68,33.69,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000114884_person.jpg,2,person;person,0.696,0.31,31.14,31.45,31.8,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000118405_person.jpg,0,,,0.32,30.55,30.87,32.4,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU+FPGA,coco_000000119516_person.jpg,0,,,0.31,30.88,31.19,32.06,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000122606_person.jpg,0,,,0.32,31.96,32.27,30.99,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000128675_person.jpg,3,person;person;person,0.599,0.34,31.7,32.04,31.21,continue,"Obstacol îndepărtat: person, precauție"
persoane,5.7.1,CPU+FPGA,coco_000000132587_person.jpg,0,,,0.36,30.18,30.54,32.74,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000135890_person.jpg,0,,,0.36,30.95,31.31,31.94,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000137294_person.jpg,1,person,0.836,0.37,31.14,31.5,31.74,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU+FPGA,coco_000000140270_person.jpg,1,person,0.676,0.35,32.22,32.57,30.7,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000143068_person.jpg,1,person,0.805,0.32,30.5,30.81,32.45,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000143556_person.jpg,1,person,0.69,0.36,29.78,30.13,33.19,emergency_stop,PERICOL CRITIC: person la distanță 0.80
persoane,5.7.1,CPU+FPGA,coco_000000148739_person.jpg,1,person,0.798,0.31,29.83,30.14,33.18,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000154358_person.jpg,0,,,0.31,31.63,31.94,31.31,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000157601_person.jpg,1,person,0.734,0.31,29.64,29.95,33.38,emergency_stop,PERICOL CRITIC: unknown la distanță 0.80
persoane,5.7.1,CPU+FPGA,coco_000000176037_person.jpg,0,,,0.31,29.51,29.82,33.53,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000179174_person.jpg,2,person;person,0.568,0.31,30.69,31.0,32.26,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000185950_person.jpg,1,person,0.501,0.31,30.51,30.82,32.45,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU+FPGA,coco_000000206411_person.jpg,0,,,0.31,30.11,30.42,32.87,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000207306_person.jpg,0,,,0.31,30.28,30.59,32.7,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000209757_person.jpg,0,,,0.37,33.55,33.92,29.48,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU+FPGA,coco_000000212453_person.jpg,0,,,0.35,31.99,32.34,30.92,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000214869_person.jpg,0,,,0.31,30.9,31.21,32.04,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000215072_person.jpg,1,person,0.597,0.32,29.39,29.7,33.67,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU+FPGA,coco_000000216277_person.jpg,1,person,0.56,0.31,32.94,33.25,30.08,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000224807_person.jpg,7,person;person;person;person;person;person;person,0.654,0.31,33.54,33.84,29.55,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000227482_person.jpg,1,person,0.882,0.31,30.12,30.43,32.86,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU+FPGA,coco_000000248616_person.jpg,3,person;person;person,0.635,0.32,30.65,30.97,32.29,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000250127_person.jpg,1,person,0.846,0.31,29.64,29.95,33.39,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000256775_person.jpg,4,person;person;person;person,0.651,0.32,32.95,33.27,30.06,continue,"Obstacol îndepărtat: person, precauție"
persoane,5.7.1,CPU+FPGA,coco_000000272136_person.jpg,0,,,0.34,29.95,30.3,33.01,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000279541_person.jpg,0,,,0.33,29.82,30.15,33.17,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000289343_person.jpg,1,person,0.479,0.31,31.39,31.7,31.54,stop,"Pericol înalt (balanced): person, oprire preventivă"
persoane,5.7.1,CPU+FPGA,coco_000000289415_person.jpg,1,person,0.799,0.32,30.62,30.94,32.32,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000292456_person.jpg,0,,,0.3,29.82,30.12,33.2,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000295478_person.jpg,1,person,0.909,0.34,29.78,30.12,33.2,emergency_stop,PERICOL CRITIC: person la distanță 0.96
persoane,5.7.1,CPU+FPGA,coco_000000303566_person.jpg,4,person;person;person;person,0.631,0.37,41.38,41.75,23.95,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000312192_person.jpg,0,,,0.31,31.5,31.81,31.43,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000313034_person.jpg,2,person;person,0.684,0.31,32.1,32.41,30.85,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU+FPGA,coco_000000315187_person.jpg,0,,,0.34,35.14,35.48,28.19,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000317999_person.jpg,0,,,0.31,30.86,31.17,32.08,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000323355_person.jpg,1,person,0.767,0.31,33.44,33.76,29.62,emergency_stop,PERICOL CRITIC: person la distanță 0.96
persoane,5.7.1,CPU+FPGA,coco_000000327701_person.jpg,3,person;person;person,0.782,0.35,31.25,31.6,31.64,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000332351_person.jpg,5,person;person;person;person;person,0.54,0.31,33.3,33.61,29.75,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000336053_person.jpg,2,person;person,0.63,0.31,30.81,31.12,32.13,emergency_stop,PERICOL CRITIC: unknown la distanță 0.90
persoane,5.7.1,CPU+FPGA,coco_000000345361_person.jpg,3,person;person;person,0.816,0.31,30.53,30.84,32.43,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000347254_person.jpg,3,person;person;person,0.789,0.31,31.02,31.33,31.92,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000354307_person.jpg,0,,,0.3,29.6,29.91,33.44,continue,"Drum liber, niciun obstacol detectat"
persoane,5.7.1,CPU+FPGA,coco_000000354547_person.jpg,1,person,0.839,0.31,30.0,30.31,32.99,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000368212_person.jpg,1,person,0.623,0.31,29.39,29.7,33.67,continue,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000372819_person.jpg,2,person;person,0.735,0.31,31.02,31.33,31.92,stop,"Pericol înalt (balanced): person, oprire preventivă"
persoane,5.7.1,CPU+FPGA,coco_000000383337_person.jpg,1,person,0.549,0.35,30.81,31.16,32.09,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000385190_person.jpg,0,,,0.31,33.13,33.44,29.9,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000390246_person.jpg,1,person,0.726,0.36,31.34,31.7,31.54,stop,"Pericol înalt (balanced): person, oprire preventivă"
persoane,5.7.1,CPU+FPGA,coco_000000391722_person.jpg,2,person;person,0.68,0.32,33.11,33.43,29.91,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000394275_person.jpg,0,,,0.31,32.77,33.07,30.23,stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000398377_person.jpg,3,person;person;person,0.749,0.32,30.34,30.67,32.61,emergency_stop,PERICOL CRITIC: person la distanță 0.97
persoane,5.7.1,CPU+FPGA,coco_000000406129_person.jpg,1,person,0.473,0.31,32.59,32.91,30.39,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000414170_person.jpg,3,person;person;person,0.76,0.32,29.58,29.89,33.45,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000417632_person.jpg,1,person,0.541,0.38,32.21,32.59,30.68,emergency_stop,PERICOL CRITIC: person la distanță 1.00
persoane,5.7.1,CPU+FPGA,coco_000000427997_person.jpg,1,person,0.694,0.32,29.79,30.11,33.21,emergency_stop,Menținere decizie anterioară (reaction time)
persoane,5.7.1,CPU+FPGA,coco_000000428111_person.jpg,0,,,0.33,28.91,29.24,34.2,emergency_stop,Menținere decizie anterioară (reaction time)
